,Country,Deaths
0,Afghanistan,4234.0
1,Albania,3502.0
2,Algeria,1897.0
3,Angola,6.0
4,Argentina,128924.0
5,Bangladesh,28105.0
6,Benin,3.0
7,Bermuda,33.0
8,Botswana,1.0
9,Bulgaria,37266.0
10,Burkina Faso,53.0
11,Burundi,1.0
12,Cambodia,1970.0
13,Cameroon,415.0
14,Canada,9234.0
15,Central African Republic,96.0
16,Chad,93.0
17,China,1023.0
18,Colombia,159000.0
19,Costa Rica,1502.0
20,Cuba,82.0
21,Denmark,3893.0
22,Dominican Republic,2134.0
23,El Salvador,4124.0
24,Equatorial Guinea,183.0
25,Faroe Islands,1.0
26,Finland,4941.0
27,Gambia,338.0
28,Ghana,299.0
29,Guatemala,2630.0
30,Guinea,81.0
31,Haiti,780.0
32,Honduras,10903.0
33,India,100875.0
34,Indonesia,155717.0
35,Island of Man,25.0
36,Israel,6334.0
37,Italy,168864.0
38,Jamaica,2835.0
39,Japan,31395.0
40,Jordan,12556.0
41,Kazakhstan,8512.0
42,Kenya,577.0
43,Kyrgyzstan,1063.0
44,Latvia,5828.0
45,Lebanon,7832.0
46,Mali,125.0
47,Mauritania,6.0
48,Mexico,286888.0
49,Moldova,11567.0
50,Montenegro,2724.0
51,Mozambique,1976.0
52,Namibia,131.0
53,Nepal,2017.0
54,New Zealand,1602.0
55,Nicaragua,2709.0
56,Nigeria,3143.0
57,Northern Ireland,3445.0
58,Pakistan,1688.0
59,Palestine,5144.0
60,Panama,720.0
61,Papua New Guinea,21.0
62,Peru,213652.0
63,Romania,1358.0
64,Rwanda,1322.0
65,Scotland,12389.0
66,Sierra Leone,72.0
67,Slovenia,7828.0
68,Somalia,1350.0
69,South Africa,98617.0
70,Suriname,54.0
71,Togo,125.0
72,Tunisia,810.0
73,Turkey,9799.0
74,USA,1010127.0
75,Uganda,0.0
76,Ukraine,90657.0
77,Uruguay,6114.0
78,Venezuela,5739.0
79,Zambia,14.0
