,Unnamed: 0,Date,Code,Country,Deaths,Cases,Tests,id
0,0,1577923200000.0,DE,Germany,0.0,12.0,0.0,276
1,1,1577923200000.0,JP,Japan,0.0,6.0,0.0,392
2,2,1577923200000.0,PH,Philippines,1.0,3.0,0.0,608
3,3,1577923200000.0,VN,Vietnam,6.0,6.0,0.0,704
4,4,1578009600000.0,AT,Austria,0.0,12.0,0.0,40
5,5,1578009600000.0,BE,Belgium,0.0,19.0,0.0,56
6,6,1578009600000.0,CZ,Czechia,0.0,3.0,0.0,203
7,7,1578009600000.0,DE,Germany,1.0,171.10000000000002,0.0,276
8,8,1578009600000.0,JP,Japan,5.0,233.0,0.0,392
9,9,1578009600000.0,NL,Netherlands,0.0,134.0,0.0,528
10,10,1578009600000.0,NO,Norway,0.0,31.0,0.0,578
11,11,1578009600000.0,PH,Philippines,1.0,42.0,0.0,608
12,12,1578009600000.0,PT,Portugal,0.0,0.0,0.0,620
13,13,1578009600000.0,ES,Spain,0.0,45.0,0.0,724
14,14,1578009600000.0,VN,Vietnam,16.0,16.0,0.0,704
15,15,1578096000000.0,AR,Argentina,37.0,1320.0,0.0,32
16,16,1578096000000.0,AT,Austria,185.0,11035.2,0.0,40
17,17,1578096000000.0,BE,Belgium,1649.9,18452.0,0.0,56
18,18,1578096000000.0,BR,Brazil,862.0,0.0,0.0,76
19,19,1578096000000.0,KH,Cambodia,0.0,110.0,0.0,116
20,20,1578096000000.0,CL,Chile,18.0,2743.9,0.0,152
21,21,1578096000000.0,CO,Colombia,38.0,1259.0,0.0,170
22,22,1578096000000.0,CZ,Czechia,42.99999999999999,3599.0,0.0,203
23,23,1578096000000.0,DK,Denmark,0.0,3092.0,26776.0,208
24,24,1578096000000.0,ET,Ethiopia,0.0,28.8,0.0,231
25,25,1578096000000.0,FI,Finland,0.0,1446.0,0.0,246
26,26,1578096000000.0,FR,France,0.0,15905.1,0.0,250
27,27,1578096000000.0,DE,Germany,3060.0000000000005,80329.99999999999,0.0,276
28,28,1578096000000.0,HU,Hungary,20.0,0.0,0.0,348
29,29,1578096000000.0,IN,India,58.1,2059.1,0.0,356
30,30,1578096000000.0,IT,Italy,13154.9,0.0,0.0,380
31,31,1578096000000.0,JP,Japan,64.0,2448.0,0.0,392
32,32,1578096000000.0,MX,Mexico,114.0,5198.0,23166.0,484
33,33,1578096000000.0,NL,Netherlands,0.0,21651.1,0.0,528
34,34,1578096000000.0,NZ,New Zealand,0.0,817.0,0.0,554
35,35,1578096000000.0,NI,Nicaragua,7.0,136.0,0.0,558
36,36,1578096000000.0,PK,Pakistan,30.9,2289.0,0.0,586
37,37,1578096000000.0,PY,Paraguay,0.0,77.0,0.0,600
38,38,1578096000000.0,PE,Peru,202.0,1435.0,0.0,604
39,39,1578096000000.0,PH,Philippines,453.0,7164.999999999999,0.0,608
40,40,1578096000000.0,PT,Portugal,209.0,9033.9,0.0,620
41,41,1578096000000.0,PR,Puerto Rico,25.0,563.0999999999999,0.0,630
42,42,1578096000000.0,RO,Romania,92.0,2460.1,0.0,642
43,43,1578096000000.0,SK,Slovakia,1.0,426.0,0.0,703
44,44,1578096000000.0,SI,Slovenia,20.0,897.0999999999999,0.0,705
45,45,1578096000000.0,KR,South Korea,165.0,9887.0,0.0,410
46,46,1578096000000.0,ES,Spain,11246.0,128936.0,0.0,724
47,47,1578096000000.0,CH,Switzerland,378.0,16654.0,0.0,756
48,48,1578096000000.0,TH,Thailand,0.0,1765.0,0.0,764
49,49,1578096000000.0,UA,Ukraine,23.0,0.0,0.0,804
